Collection,Subsistence,Sex,BicondylarBreadth,Index_FM
Windover,Hunter_Gatherer,Male,46.75,NA
Windover,Hunter_Gatherer,Female,49.08,905.235463079046
Windover,Hunter_Gatherer,Female,NA,NA
Windover,Hunter_Gatherer,Female,44.57,988.068632299064
Windover,Hunter_Gatherer,Female,48.6766666666667,835.626260902307
Windover,Hunter_Gatherer,Female,NA,NA
Windover,Hunter_Gatherer,Female,NA,NA
Windover,Hunter_Gatherer,Male,NA,NA
Windover,Hunter_Gatherer,Male,NA,NA
Windover,Hunter_Gatherer,Male,58.4033333333333,952.249170247214
Windover,Hunter_Gatherer,Female,NA,772.448213046734
Windover,Hunter_Gatherer,Male,NA,NA
Windover,Hunter_Gatherer,Male,49.8566666666667,904.358792922417
Windover,Hunter_Gatherer,Male,54.5966666666667,990.634519372235
Windover,Hunter_Gatherer,Female,48.7566666666667,789.891112130981
Windover,Hunter_Gatherer,Male,52.4466666666667,855.577416287828
Windover,Hunter_Gatherer,Male,NA,NA
Windover,Hunter_Gatherer,Male,NA,NA
Windover,Hunter_Gatherer,Male,NA,NA
Windover,Hunter_Gatherer,Female,NA,NA
Windover,Hunter_Gatherer,Female,NA,NA
Windover,Hunter_Gatherer,Male,52.7566666666667,944.673298102899
Windover,Hunter_Gatherer,Female,NA,NA
Windover,Hunter_Gatherer,Female,52.9566666666667,844.994795627931
Windover,Hunter_Gatherer,Male,NA,NA
Windover,Hunter_Gatherer,Male,NA,NA
Windover,Hunter_Gatherer,Male,55.08,860.196988658591
Windover,Hunter_Gatherer,Male,53.91,950.260070858595
Windover,Hunter_Gatherer,Male,NA,NA
Windover,Hunter_Gatherer,Female,NA,NA
Windover,Hunter_Gatherer,Female,NA,NA
Windover,Hunter_Gatherer,Male,55.25,868.409042041905
Windover,Hunter_Gatherer,Female,NA,NA
Windover,Hunter_Gatherer,Female,NA,NA
Windover,Hunter_Gatherer,Female,51.27,798.276878134744
Windover,Hunter_Gatherer,Female,48.9033333333333,834.807457137028
Windover,Hunter_Gatherer,Female,52.78,880.587329970438
Windover,Hunter_Gatherer,Female,55.12,776.803882907948
Windover,Hunter_Gatherer,Male,58.9366666666667,1041.80975470227
Windover,Hunter_Gatherer,Male,51.7533333333333,1017.26250162443
Windover,Hunter_Gatherer,Male,59.27,918.163047035397
Windover,Hunter_Gatherer,Female,55.2433333333333,866.247111424107
Windover,Hunter_Gatherer,Female,53.85,911.183117564178
Windover,Hunter_Gatherer,Male,52.8966666666667,964.650371627812
Windover,Hunter_Gatherer,Male,52.7566666666667,809.52643273506
Windover,Hunter_Gatherer,Female,NA,NA
Windover,Hunter_Gatherer,Female,50.3033333333333,758.253179714229
Military,Agriculture,Male,52.87,900.824640813468
Military,Agriculture,Male,NA,NA
Military,Agriculture,Male,49.4233333333333,834.962503461126
Military,Agriculture,Male,52.11,1016.32573105501
Military,Agriculture,Male,52.9966666666667,874.599340926294
Military,Agriculture,Male,48.32,885.658619731557
Military,Agriculture,Male,NA,NA
Military,Agriculture,Male,49.4766666666667,1047.10079014287
Military,Agriculture,Male,55.55,1061.0662864988
Military,Agriculture,Male,46.5533333333333,711.467779065515
Military,Agriculture,Male,55.1633333333333,1164.67801061618
Military,Agriculture,Male,50.03,906.267101019959
Military,Agriculture,Male,51.0633333333333,842.046498189
FSUTC,Agriculture,Male,50.1166666666667,949.83219466582
FSUTC,Agriculture,Male,50.6,1026.55529778717
FSUTC,Agriculture,Female,51.4933333333333,858.083168041623
FSUTC,Agriculture,Male,51.16,826.154036165822
FSUTC,Agriculture,Female,51.8133333333333,943.498028291191
FSUTC,Agriculture,Male,54.66,1151.35906275501
FSUTC,Agriculture,Male,48.7466666666667,753.420965154049
FSUTC,Agriculture,Female,52.91,916.090442368718
FSUTC,Agriculture,Female,49.7033333333333,914.699414954878
FSUTC,Agriculture,Female,45.3733333333333,871.199142837434
FSUTC,Agriculture,Male,53.39,827.541389661586
FSUTC,Agriculture,Female,47.3933333333333,717.10704259846
FSUTC,Agriculture,Male,54.7333333333333,939.799762872678
FSUTC,Agriculture,Female,47.1633333333333,797.151280393549
FSUTC,Agriculture,Male,50.1166666666667,902.231768889657
FSUTC,Agriculture,Male,48.6566666666667,688.374463794396
FSUTC,Agriculture,Female,42.6966666666667,688.57922582224
FSUTC,Agriculture,Female,49.2366666666667,727.042102472637
FSUTC,Agriculture,Male,48.3216666666667,676.90042494569
FSUTC,Agriculture,Female,46.07,805.421584140645
FSUTC,Agriculture,Male,48.5233333333333,896.127471104161
FSUTC,Agriculture,Female,45.8966666666667,735.855639949418
Hutchinson,Hunter_Gatherer,Female,46.2266666666667,693.211792169284
Hutchinson,Hunter_Gatherer,Male,50.49,808.273844837487
Hutchinson,Hunter_Gatherer,Female,NA,NA
Hutchinson,Hunter_Gatherer,Female,49.0866666666667,694.187535940905
Hutchinson,Hunter_Gatherer,Female,NA,NA
Hutchinson,Hunter_Gatherer,Male,NA,NA
Hutchinson,Hunter_Gatherer,Male,NA,NA
Hutchinson,Hunter_Gatherer,Male,NA,847.166508816189
Hutchinson,Hunter_Gatherer,Female,NA,NA
Hutchinson,Hunter_Gatherer,Female,NA,NA
Hutchinson,Hunter_Gatherer,Male,NA,NA
Hutchinson,Hunter_Gatherer,Female,NA,NA
Hutchinson,Hunter_Gatherer,Female,NA,NA
Hutchinson,Hunter_Gatherer,Male,NA,NA
Hutchinson,Hunter_Gatherer,Male,50.9166666666667,689.280586382154
Hutchinson,Hunter_Gatherer,Male,NA,NA
RJT,Agriculture,Female,49.67,821.576744396188
RJT,Agriculture,Female,53.7,965.565360488169
RJT,Agriculture,Female,47.28,793.243662731258
RJT,Agriculture,Female,49.5,900.866223282896
RJT,Agriculture,Female,48.47,704.385992179145
RJT,Agriculture,Female,46.83,NA
RJT,Agriculture,Female,47.24,878.106562604883
RJT,Agriculture,Female,43.96,754.247779980595
RJT,Agriculture,Female,48.1,665.647327326994
RJT,Agriculture,Female,49.61,880.564858856317
RJT,Agriculture,Female,52.7,854.078483892983
RJT,Agriculture,Female,52.17,768.748900430667
RJT,Agriculture,Female,48.22,789.031572380958
RJT,Agriculture,Female,51.28,904.692290435887
RJT,Agriculture,Female,44.58,744.476405810318
RJT,Agriculture,Female,55.47,795.259622737067
RJT,Agriculture,Female,43.77,734.283508445746
RJT,Agriculture,Female,49.36,894.739410750049
RJT,Agriculture,Female,49.31,735.304211898898
RJT,Agriculture,Female,51.46,928.480744168134
