Subsistence,Collection,Sex,BicondylarBreadth,Index_FM
Agriculture,RJT,Female,49.67,821.576744396188
Agriculture,RJT,Female,53.7,965.565360488169
Agriculture,RJT,Female,47.28,793.243662731258
Agriculture,RJT,Female,49.5,900.866223282896
Agriculture,RJT,Female,48.47,704.385992179145
Agriculture,RJT,Female,46.83,NA
Agriculture,RJT,Female,47.24,878.106562604883
Agriculture,RJT,Female,43.96,754.247779980595
Agriculture,RJT,Female,48.1,665.647327326994
Agriculture,RJT,Female,49.61,880.564858856317
Agriculture,RJT,Female,52.7,854.078483892983
Agriculture,RJT,Female,52.17,768.748900430667
Agriculture,RJT,Female,48.22,789.031572380958
Agriculture,RJT,Female,51.28,904.692290435887
Agriculture,RJT,Female,44.58,744.476405810318
Agriculture,RJT,Female,55.47,795.259622737067
Agriculture,RJT,Female,43.77,734.283508445746
Agriculture,RJT,Female,49.36,894.739410750049
Agriculture,RJT,Female,49.31,735.304211898898
Agriculture,RJT,Female,51.46,928.480744168134
Agriculture,RJT,Female,53.01,827.089611184708
Agriculture,RJT,Female,50.67,819.168399467946
Agriculture,RJT,Female,51.81,947.549897416159
Agriculture,RJT,Female,NA,851.26526621151
Agriculture,RJT,Female,46.73,820.662540933994
Agriculture,RJT,Female,44.26,634.39547046743
Agriculture,RJT,Female,50.81,721.503823690208
Agriculture,RJT,Female,49.86,883.242438274972
Agriculture,RJT,Female,49.9,942.814731889036
Agriculture,RJT,Female,51.77,1025.67494498581
Agriculture,RJT,Female,49.74,930.925374491525
Agriculture,RJT,Female,47.24,827.546555836172
Agriculture,RJT,Female,52.46,842.610885309217
Agriculture,RJT,Female,56.16,1002.34005869293
Agriculture,RJT,Female,54.78,920.197620977679
Agriculture,RJT,Female,47.66,840.559975085137
Agriculture,RJT,Female,52.04,790.349313419506
Agriculture,RJT,Female,55.81,864.73798630643
Agriculture,RJT,Female,60.68,937.078105163764
Agriculture,RJT,Female,53.46,993.532446608956
Agriculture,RJT,Female,51.2,801.852254920625
Agriculture,RJT,Female,50.77,797.848687782706
Agriculture,RJT,Female,46.46,779.913728022444
Agriculture,RJT,Female,49.84,674.75095597875
Agriculture,RJT,Female,52.62,886.452596188226
Agriculture,RJT,Female,48.21,692.696440074402
Agriculture,RJT,Female,52.4,690.587881625129
Agriculture,RJT,Female,46.34,723.415168660652
Agriculture,RJT,Female,50.27,913.876265319759
Agriculture,RJT,Female,54.55,870.433850867021
Agriculture,RJT,Female,48.2,760.976207506605
Agriculture,RJT,Female,50.17,826.553027159474
Agriculture,RJT,Female,48.05,764.076959455698
Agriculture,RJT,Female,48.07,767.543314249852
Agriculture,HTH,Male,54.36,926.975921287064
Agriculture,RJT,Male,47.97,831.027911735248
Agriculture,RJT,Female,55.28,1086.2702197077
