Subsistence,Collection,Sex,BicondylarBreadth,LambdaInion,Index_FM,Index_Form,Index_Nuchal
Hunter_Gatherer,Windover,Male,46.75,69.74,NA,11.74,4
Hunter_Gatherer,Windover,Female,49.08,56.3133333333333,905.235463079046,7.72,3
Hunter_Gatherer,Windover,Female,NA,63.4633333333333,NA,8.74333333333333,4
Hunter_Gatherer,Windover,Female,44.57,50.7933333333333,988.068632299064,6.25333333333333,4
Hunter_Gatherer,Windover,Female,48.6766666666667,77.2666666666667,835.626260902307,7.42333333333333,4
Hunter_Gatherer,Windover,Female,NA,67.7533333333333,NA,7.12,3
Hunter_Gatherer,Windover,Female,NA,64.8533333333333,NA,8.61333333333333,4
Hunter_Gatherer,Windover,Male,NA,70.3333333333333,NA,7.30333333333333,4
Hunter_Gatherer,Windover,Male,NA,75.91,NA,7.17333333333333,6
Hunter_Gatherer,Windover,Male,58.4033333333333,69.6433333333333,952.249170247214,8.26666666666667,6
Hunter_Gatherer,Windover,Female,NA,68.5266666666667,772.448213046734,8.58333333333333,5
Hunter_Gatherer,Windover,Male,NA,69.9766666666667,NA,9.07666666666667,6
Hunter_Gatherer,Windover,Male,49.8566666666667,63.8966666666667,904.358792922417,9.15333333333333,5
Hunter_Gatherer,Windover,Male,54.5966666666667,63.2566666666667,990.634519372235,6.01333333333333,6
Hunter_Gatherer,Windover,Female,48.7566666666667,44.4766666666667,789.891112130981,5.20333333333333,3
Hunter_Gatherer,Windover,Male,52.4466666666667,65.3466666666667,855.577416287828,7.42333333333333,5
Hunter_Gatherer,Windover,Male,NA,80.43,NA,11.81,6
Hunter_Gatherer,Windover,Male,NA,67.7766666666667,NA,7.12666666666667,5
Hunter_Gatherer,Windover,Male,NA,69.2466666666667,NA,11.6566666666667,5
Hunter_Gatherer,Windover,Female,NA,56.89,NA,5.74666666666667,4
Hunter_Gatherer,Windover,Female,NA,61.7766666666667,NA,4.23333333333333,4
Hunter_Gatherer,Windover,Male,52.7566666666667,68.08,944.673298102899,7.62666666666667,6
Hunter_Gatherer,Windover,Female,NA,70.03,NA,4.74666666666667,5
Hunter_Gatherer,Windover,Female,52.9566666666667,56.01,844.994795627931,6.51666666666667,5
Hunter_Gatherer,Windover,Male,NA,65.1833333333333,NA,7.65666666666667,4
Hunter_Gatherer,Windover,Male,NA,69.62,NA,7.68666666666667,5
Hunter_Gatherer,Windover,Male,55.08,69.3266666666667,860.196988658591,8.14,6
Hunter_Gatherer,Windover,Male,53.91,58.3,950.260070858595,7.61666666666667,4
Hunter_Gatherer,Windover,Male,NA,54.58,NA,7.83,4
Hunter_Gatherer,Windover,Female,NA,64.2766666666667,NA,7.83333333333333,5
Hunter_Gatherer,Windover,Female,NA,61.4466666666667,NA,4.70666666666667,2
Hunter_Gatherer,Windover,Male,55.25,69.6,868.409042041905,8.90666666666667,6
Hunter_Gatherer,Windover,Female,NA,56.5066666666667,NA,9.20333333333333,4
Hunter_Gatherer,Windover,Female,NA,58.1966666666667,NA,6.32,4
Hunter_Gatherer,Windover,Female,51.27,60.06,798.276878134744,5.39,4
Hunter_Gatherer,Windover,Female,48.9033333333333,54.4533333333333,834.807457137028,7.4,5
Hunter_Gatherer,Windover,Female,52.78,68.4033333333333,880.587329970438,8.6,7
Hunter_Gatherer,Windover,Female,55.12,57.8766666666667,776.803882907948,7.73,5
Hunter_Gatherer,Windover,Male,58.9366666666667,59.4533333333333,1041.80975470227,4.87666666666667,4
Hunter_Gatherer,Windover,Male,51.7533333333333,65.85,1017.26250162443,8.44333333333333,6
Hunter_Gatherer,Windover,Male,59.27,69.5133333333333,918.163047035397,8.25666666666667,6
Hunter_Gatherer,Windover,Female,55.2433333333333,64.3566666666667,866.247111424107,8.45333333333333,5
Hunter_Gatherer,Windover,Female,53.85,55.8266666666667,911.183117564178,6.08333333333333,4
Hunter_Gatherer,Windover,Male,52.8966666666667,63.52,964.650371627812,8.24333333333333,6
Hunter_Gatherer,Windover,Male,52.7566666666667,66.9666666666667,809.52643273506,15.2433333333333,6
Hunter_Gatherer,Windover,Female,NA,71.4433333333333,NA,8.38666666666667,4
Hunter_Gatherer,Windover,Female,50.3033333333333,58.5766666666667,758.253179714229,4.69333333333333,4
Agriculture,Military,Male,52.87,62.2533333333333,900.824640813468,7.06666666666667,5
Agriculture,Military,Male,NA,65.3166666666667,NA,11.9533333333333,6
Agriculture,Military,Male,49.4233333333333,53.6933333333333,834.962503461126,9.96333333333333,5
Agriculture,Military,Male,52.11,57.6566666666667,1016.32573105501,7.78333333333333,4
Agriculture,Military,Male,52.9966666666667,69.1133333333333,874.599340926294,6.20666666666667,5
Agriculture,Military,Male,48.32,68.64,885.658619731557,4.00333333333333,5
Agriculture,Military,Male,NA,64.8,NA,6.29666666666667,2
Agriculture,Military,Male,49.4766666666667,72.5,1047.10079014287,6.36333333333333,2
Agriculture,Military,Male,55.55,70.0033333333333,1061.0662864988,8.26333333333333,4
Agriculture,Military,Male,46.5533333333333,55.31,711.467779065515,10.7366666666667,6
Agriculture,Military,Male,55.1633333333333,73.6366666666667,1164.67801061618,12.0033333333333,6
Agriculture,Military,Male,50.03,73.5733333333333,906.267101019959,7.81666666666667,4
Agriculture,Military,Male,51.0633333333333,64.73,842.046498189,8.75333333333333,5
Agriculture,FSUTC,Male,50.1166666666667,60.36,949.83219466582,11.5,6
Agriculture,FSUTC,Male,50.6,65.1466666666667,1026.55529778717,7.06666666666667,5
Agriculture,FSUTC,Female,51.4933333333333,64.6,858.083168041623,7.18333333333333,4
Agriculture,FSUTC,Male,51.16,62.7,826.154036165822,8.05,3
Agriculture,FSUTC,Female,51.8133333333333,52.1466666666667,943.498028291191,8.29666666666667,4
Agriculture,FSUTC,Male,54.66,62.94,1151.35906275501,9.95,6
Agriculture,FSUTC,Male,48.7466666666667,57.4466666666667,753.420965154049,6.75333333333333,3
Agriculture,FSUTC,Female,52.91,55.59,916.090442368718,8.67,6
Agriculture,FSUTC,Female,49.7033333333333,60.7466666666667,914.699414954878,6.51333333333333,4
Agriculture,FSUTC,Female,45.3733333333333,64.8366666666667,871.199142837434,8.64666666666667,5
Agriculture,FSUTC,Male,53.39,55.5033333333333,827.541389661586,5.47,6
Agriculture,FSUTC,Female,47.3933333333333,61.45,717.10704259846,7.46333333333333,4
Agriculture,FSUTC,Male,54.7333333333333,74.4333333333333,939.799762872678,13.5133333333333,6
Agriculture,FSUTC,Female,47.1633333333333,63.7666666666667,797.151280393549,7.69,5
Agriculture,FSUTC,Male,50.1166666666667,55.4133333333333,902.231768889657,13.37,5
Agriculture,FSUTC,Male,48.6566666666667,56.0433333333333,688.374463794396,8.97,5
Agriculture,FSUTC,Female,42.6966666666667,47.2266666666667,688.57922582224,8.48333333333333,5
Agriculture,FSUTC,Female,49.2366666666667,58.73,727.042102472637,5.71666666666667,3
Agriculture,FSUTC,Male,48.3216666666667,71.8233333333333,676.90042494569,9.32,5
Agriculture,FSUTC,Female,46.07,69.4833333333333,805.421584140645,5.51333333333333,4
Agriculture,FSUTC,Male,48.5233333333333,60.5333333333333,896.127471104161,11.4666666666667,6
Agriculture,FSUTC,Female,45.8966666666667,64.7466666666667,735.855639949418,5.85333333333333,3
Hunter_Gatherer,Hutchinson,Female,46.2266666666667,63.5633333333333,693.211792169284,7.53666666666667,4
Hunter_Gatherer,Hutchinson,Male,50.49,70.9133333333333,808.273844837487,12.7066666666667,5
Hunter_Gatherer,Hutchinson,Female,NA,60.3433333333333,NA,5.56666666666667,3
Hunter_Gatherer,Hutchinson,Female,49.0866666666667,78.2766666666667,694.187535940905,7.78,4
Hunter_Gatherer,Hutchinson,Female,NA,60.8966666666667,NA,6.89666666666667,4
Hunter_Gatherer,Hutchinson,Male,NA,68.8266666666667,NA,13.1533333333333,5
Hunter_Gatherer,Hutchinson,Male,NA,77.43,NA,11.59,5
Hunter_Gatherer,Hutchinson,Male,NA,64.4233333333333,847.166508816189,10.6,5
Hunter_Gatherer,Hutchinson,Female,NA,64.8266666666667,NA,7.52,3
Hunter_Gatherer,Hutchinson,Female,NA,79.4033333333333,NA,5.3,3
Hunter_Gatherer,Hutchinson,Male,NA,69.3,NA,9.64333333333333,5
Hunter_Gatherer,Hutchinson,Female,NA,63.0733333333333,NA,7.78,4
Hunter_Gatherer,Hutchinson,Female,NA,66.6066666666667,NA,6.65333333333333,3
Hunter_Gatherer,Hutchinson,Male,NA,81.0033333333333,NA,11.6133333333333,5
Hunter_Gatherer,Hutchinson,Male,50.9166666666667,61.9366666666667,689.280586382154,12.96,6
Hunter_Gatherer,Hutchinson,Male,NA,70.93,NA,12,5
