Group,Site,SiteNo,Obs,Feature,Burial,Sex,MLC,MWC,MND,BCB,MXID,LFM,WFM,LBP
Arikara,Leavenworth,39CO9,1,101,3B,M,22.45,12.20,19.60,51.55,47.25,36.00,30.30,22.85
Arikara,Leavenworth,39CO9,2,101,7,M,23.35,12.35,19.75,52.75,49.50,34.95,28.90,25.20
Arikara,Leavenworth,39CO9,3,101,12,F,24.00,13.80,17.10,51.45,43.30,33.30,26.60,25.80
Arikara,Leavenworth,39CO9,4,101,18A,M,20.70,13.95,19.85,51.75,46.50,38.50,30.35,25.00
Arikara,Leavenworth,39CO9,5,101,31A,F,21.70,14.00,21.15,49.95,42.50,36.50,29.55,25.90
Arikara,Leavenworth,39CO9,6,101,30,M,22.95,15.65,20.50,51.50,47.40,36.40,31.25,25.00
Arikara,Leavenworth,39CO9,7,101,35,F,20.80,14.45,19.30,48.35,41.00,33.70,28.10,22.05
Arikara,Leavenworth,39CO9,8,101,48A,F,23.60,12.65,20.90,48.35,44.25,34.20,30.90,22.05
Arikara,Leavenworth,39CO9,9,201,4,F,25.00,12.85,19.80,51.40,45.55,38.60,33.05,23.80
Arikara,Leavenworth,39CO9,10,201,6,F,23.55,13.70,23.00,53.70,47.15,36.70,32.35,26.80
Arikara,Leavenworth,39CO9,11,102,4,F,21.15,11.85,21.20,48.05,41.20,37.40,30.15,22.90
Arikara,Leavenworth,39CO9,12,102,16,F,20.20,12.30,16.25,46.20,40.90,32.75,27.95,22.70
Arikara,Leavenworth,39CO9,13,102,17,M,31.40,13.00,23.55,51.55,51.65,39.55,33.05,25.00
Arikara,Leavenworth,39CO9,14,102,22,M,23.55,13.30,21.80,48.30,42.25,38.90,31.25,24.50
Arikara,Leavenworth,39CO9,15,102,41A,F,23.60,13.25,20.05,48.55,40.85,34.15,27.70,24.85
Arikara,Leavenworth,39CO9,16,102,42,M,30.50,18.00,20.50,55.00,48.70,36.65,33.15,24.05
Arikara,Leavenworth,39CO9,17,102,46,M,24.80,15.10,25.60,55.45,46.65,41.20,33.85,23.75
Arikara,Leavenworth,39CO9,18,102,50,M,24.10,12.70,23.35,52.20,46.75,33.75,28.95,25.65
Arikara,Leavenworth,39CO9,19,102,55,M,25.10,15.80,19.80,54.50,51.00,38.00,31.70,24.95
Arikara,Leavenworth,39CO9,20,202,3,M,25.40,13.25,16.10,48.55,42.50,36.15,28.80,23.25
Arikara,Leavenworth,39CO9,21,202,10B,F,23.95,15.35,20.30,47.55,40.95,34.85,28.35,23.30
Arikara,Leavenworth,39CO9,22,202,13,M,23.90,14.15,23.15,54.25,46.80,41.25,31.85,25.65
Arikara,Leavenworth,39CO9,23,202,17C,F,21.80,13.80,19.40,50.60,42.40,39.35,29.00,20.25
Arikara,Leavenworth,39CO9,24,402,1,F,27.70,13.40,19.25,53.85,48.95,39.95,33.20,24.00
Arikara,Leavenworth,39CO9,25,220,9C,F,24.45,14.00,18.15,53.90,45.75,37.70,32.60,24.60
